PV_name,values,py_data_type
IOC:LAS:CXI:BHC:01:START_CNT,12.0,<class 'float'>
IOC:LAS:CXI:BHC:01SR_rebootStatusStr,.sav file contained an error message,<class 'str'>
IOC:LAS:CXI:BHC:01SR_rebootTime,Thu Nov 16 12:00:59,<class 'str'>
IOC:LAS:CXI:BHC:01SR_statusStr,60 values not saved,<class 'str'>
IOC:LAS:CXI:BHC:01SR_0_Name,ioc-las-cxi-bhc-01,<class 'str'>
IOC:LAS:CXI:BHC:01SR_0_StatusStr,60 values not saved,<class 'str'>
IOC:LAS:CXI:BHC:01SR_0_Time,Tue Nov 21 10:36:39,<class 'str'>
IOC:LAS:CXI:BHC:01SR_1_Name,Not In Use,<class 'str'>
IOC:LAS:CXI:BHC:01SR_1_StatusStr,Status unknown,<class 'str'>
IOC:LAS:CXI:BHC:01SR_1_Time,Not yet saved,<class 'str'>
IOC:LAS:CXI:BHC:01SR_2_Name,Not In Use,<class 'str'>
IOC:LAS:CXI:BHC:01SR_2_StatusStr,Status unknown,<class 'str'>
IOC:LAS:CXI:BHC:01SR_2_Time,Not yet saved,<class 'str'>
IOC:LAS:CXI:BHC:01SR_3_Name,Not In Use,<class 'str'>
IOC:LAS:CXI:BHC:01SR_3_StatusStr,Status unknown,<class 'str'>
IOC:LAS:CXI:BHC:01SR_3_Time,Not yet saved,<class 'str'>
IOC:LAS:CXI:BHC:01SR_4_Name,Not In Use,<class 'str'>
IOC:LAS:CXI:BHC:01SR_4_StatusStr,Status unknown,<class 'str'>
IOC:LAS:CXI:BHC:01SR_4_Time,Not yet saved,<class 'str'>
IOC:LAS:CXI:BHC:01SR_5_Name,Not In Use,<class 'str'>
IOC:LAS:CXI:BHC:01SR_5_StatusStr,Status unknown,<class 'str'>
IOC:LAS:CXI:BHC:01SR_5_Time,Not yet saved,<class 'str'>
IOC:LAS:CXI:BHC:01SR_6_Name,Not In Use,<class 'str'>
IOC:LAS:CXI:BHC:01SR_6_StatusStr,Status unknown,<class 'str'>
IOC:LAS:CXI:BHC:01SR_6_Time,Not yet saved,<class 'str'>
IOC:LAS:CXI:BHC:01SR_7_Name,Not In Use,<class 'str'>
IOC:LAS:CXI:BHC:01SR_7_StatusStr,Status unknown,<class 'str'>
IOC:LAS:CXI:BHC:01SR_7_Time,Not yet saved,<class 'str'>
IOC:LAS:CXI:BHC:01:GTIM_RESET,0,<class 'int'>
IOC:LAS:CXI:BHC:01:01HZ_MODE,1,<class 'int'>
IOC:LAS:CXI:BHC:01:02HZ_MODE,1,<class 'int'>
IOC:LAS:CXI:BHC:01:05HZ_MODE,1,<class 'int'>
IOC:LAS:CXI:BHC:01:1HZ_MODE,1,<class 'int'>
IOC:LAS:CXI:BHC:01:2HZ_MODE,1,<class 'int'>
IOC:LAS:CXI:BHC:01:5HZ_MODE,1,<class 'int'>
IOC:LAS:CXI:BHC:01:10HZ_MODE,1,<class 'int'>
IOC:LAS:CXI:BHC:01SR_i_am_alive,1,<class 'int'>
IOC:LAS:CXI:BHC:01SR_deadIfZero,1,<class 'int'>
IOC:LAS:CXI:BHC:01:ACCESS,0,<class 'int'>
IOC:LAS:CXI:BHC:01SR_rebootStatus,2,<class 'int'>
IOC:LAS:CXI:BHC:01SR_status,2,<class 'int'>
IOC:LAS:CXI:BHC:01SR_0_Status,2,<class 'int'>
IOC:LAS:CXI:BHC:01SR_1_Status,0,<class 'int'>
IOC:LAS:CXI:BHC:01SR_2_Status,0,<class 'int'>
IOC:LAS:CXI:BHC:01SR_3_Status,0,<class 'int'>
IOC:LAS:CXI:BHC:01SR_4_Status,0,<class 'int'>
IOC:LAS:CXI:BHC:01SR_5_Status,0,<class 'int'>
IOC:LAS:CXI:BHC:01SR_6_Status,0,<class 'int'>
IOC:LAS:CXI:BHC:01SR_7_Status,0,<class 'int'>
LAS:CXI:ADC:01:BHC:AO1:1,0.0,<class 'float'>
LAS:CXI:ADC:01:BHC:AO1:2,0.0,<class 'float'>
LAS:CXI:ADC:01:RF_LOCK,0.0,<class 'float'>
LAS:CXI:ADC:01:FB_GAIN,0.0,<class 'float'>
IOC:LAS:CXI:BHC:01:CA_UPD_TIME,15.0,<class 'float'>
IOC:LAS:CXI:BHC:01:FD_UPD_TIME,20.0,<class 'float'>
IOC:LAS:CXI:BHC:01:LOAD_UPD_TIME,10.0,<class 'float'>
IOC:LAS:CXI:BHC:01:MEM_UPD_TIME,10.0,<class 'float'>
IOC:LAS:CXI:BHC:01:GTIM_ERR_CNT,0,<class 'int'>
IOC:LAS:CXI:BHC:01:SCANONCE_Q_HIGHPER,0.0,<class 'float'>
IOC:LAS:CXI:BHC:01:SCANONCE_Q_USEDPER,0.0,<class 'float'>
IOC:LAS:CXI:BHC:01:CBLOW_Q_HIGHPER,0.1,<class 'float'>
IOC:LAS:CXI:BHC:01:CBLOW_Q_USEDPER,0.0,<class 'float'>
IOC:LAS:CXI:BHC:01:CBMEDIUM_Q_HIGHPER,0.0,<class 'float'>
