PV_name,values,py_data_type
IOC:LAS:LHN:SR620:04:START_CNT,1.0,<class 'float'>
LAS:FS14:CNT:TI:GetGatePeriod:Update,0.0,<class 'float'>
IOC:LAS:LHN:SR620:04:SR_rebootStatusStr,Ok,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_rebootTime,Tue Aug 29 16:57:38,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_statusStr,Ok,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_0_Name,ioc-las-lhn-sr620-04,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_0_StatusStr,Ok,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_1_Name,Not In Use,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_1_StatusStr,Status unknown,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_1_Time,Not yet saved,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_2_Name,Not In Use,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_2_StatusStr,Status unknown,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_2_Time,Not yet saved,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_3_Name,Not In Use,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_3_StatusStr,Status unknown,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_3_Time,Not yet saved,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_4_Name,Not In Use,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_4_StatusStr,Status unknown,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_4_Time,Not yet saved,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_5_Name,Not In Use,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_5_StatusStr,Status unknown,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_5_Time,Not yet saved,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_6_Name,Not In Use,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_6_StatusStr,Status unknown,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_6_Time,Not yet saved,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_7_Name,Not In Use,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_7_StatusStr,Status unknown,<class 'str'>
IOC:LAS:LHN:SR620:04:SR_7_Time,Not yet saved,<class 'str'>
LAS:FS14:CNT:TI:SendDebug,,<class 'str'>
IOC:LAS:LHN:SR620:04:GTIM_RESET,0,<class 'int'>
IOC:LAS:LHN:SR620:04:01HZ_MODE,1,<class 'int'>
IOC:LAS:LHN:SR620:04:02HZ_MODE,1,<class 'int'>
IOC:LAS:LHN:SR620:04:05HZ_MODE,1,<class 'int'>
IOC:LAS:LHN:SR620:04:1HZ_MODE,1,<class 'int'>
IOC:LAS:LHN:SR620:04:2HZ_MODE,1,<class 'int'>
IOC:LAS:LHN:SR620:04:5HZ_MODE,1,<class 'int'>
IOC:LAS:LHN:SR620:04:10HZ_MODE,1,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_i_am_alive,1,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_deadIfZero,1,<class 'int'>
LAS:FS14:CNT:TI:Reset,0,<class 'int'>
LAS:FS14:CNT:TI:ManualTrigger,0,<class 'int'>
LAS:FS14:CNT:TI:SetRefLvlAmp,1,<class 'int'>
LAS:FS14:CNT:TI:A:SetInputCoupl,0,<class 'int'>
LAS:FS14:CNT:TI:B:SetInputCoupl,0,<class 'int'>
LAS:FS14:CNT:TI:A:SetTrigMode,0,<class 'int'>
LAS:FS14:CNT:TI:B:SetTrigMode,0,<class 'int'>
LAS:FS14:CNT:TI:EXT:SetTrigSlope,0,<class 'int'>
LAS:FS14:CNT:TI:A:SetTrigSlope,0,<class 'int'>
LAS:FS14:CNT:TI:B:SetTrigSlope,0,<class 'int'>
LAS:FS14:CNT:TI:DeviceTrigger,0,<class 'int'>
LAS:FS14:CNT:TI:StartButton,0,<class 'int'>
LAS:FS14:CNT:TI:StopButton,0,<class 'int'>
LAS:FS14:CNT:TI:SetAutoMeasMode,1,<class 'int'>
LAS:FS14:CNT:TI:CompParity,0,<class 'int'>
LAS:FS14:CNT:TI:SetVarianceType,0,<class 'int'>
LAS:FS14:CNT:TI:StartMeasurement,0,<class 'int'>
LAS:FS14:CNT:TI:StartScan,0,<class 'int'>
LAS:FS14:CNT:TI:ClearScan,0,<class 'int'>
LAS:FS14:CNT:TI:SetAutoprintMode,0,<class 'int'>
LAS:FS14:CNT:TI:AutoscaleGraph,0,<class 'int'>
LAS:FS14:CNT:TI:ClearDisplayGraph,0,<class 'int'>
LAS:FS14:CNT:TI:SetGraphEnable,1,<class 'int'>
LAS:FS14:CNT:TI:SetPrintingDevice,0,<class 'int'>
LAS:FS14:CNT:TI:SetPlotterPort,0,<class 'int'>
LAS:FS14:CNT:TI:StartPlot,0,<class 'int'>
LAS:FS14:CNT:TI:ClearPlot,0,<class 'int'>
LAS:FS14:CNT:TI:SetExpandMode,0,<class 'int'>
LAS:FS14:CNT:TI:SetClockSource,1,<class 'int'>
LAS:FS14:CNT:TI:SetClockFreq,0,<class 'int'>
LAS:FS14:CNT:TI:StartAutocal,0,<class 'int'>
LAS:FS14:CNT:TI:EXT:GetInputTerm,1,<class 'int'>
LAS:FS14:CNT:TI:A:GetInputTerm,0,<class 'int'>
LAS:FS14:CNT:TI:B:GetInputTerm,0,<class 'int'>
LAS:FS14:CNT:TI:GetArmMode,7,<class 'int'>
LAS:FS14:CNT:TI:GetDispRELMode,0,<class 'int'>
LAS:FS14:CNT:TI:GetInstrumentMode,0,<class 'int'>
LAS:FS14:CNT:TI:GetMeasSource,0,<class 'int'>
LAS:FS14:CNT:TI:GetDACOutputMode,0,<class 'int'>
LAS:FS14:CNT:TI:GetDelayScanMode,0,<class 'int'>
LAS:FS14:CNT:TI:GetScanMode,0,<class 'int'>
LAS:FS14:CNT:TI:GetNumScanPoints,6,<class 'int'>
LAS:FS14:CNT:TI:GetDisplayGraphType,0,<class 'int'>
LAS:FS14:CNT:TI:GetDisplaySource,0,<class 'int'>
LAS:FS14:CNT:TI:GetPrinterPortMode,0,<class 'int'>
LAS:FS14:CNT:TI:DVM0:GetVRange,0,<class 'int'>
LAS:FS14:CNT:TI:DVM1:GetVRange,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll,1,<class 'str'>
LAS:FS14:CNT:TI:UpdateHighRate,2,<class 'str'>
IOC:LAS:LHN:SR620:04:ACCESS,0,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_rebootStatus,4,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_status,4,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_0_Status,4,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_1_Status,0,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_2_Status,0,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_3_Status,0,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_4_Status,0,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_5_Status,0,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_6_Status,0,<class 'int'>
IOC:LAS:LHN:SR620:04:SR_7_Status,0,<class 'int'>
LAS:FS14:CNT:TI:EXT:SetInputTerm,1,<class 'int'>
LAS:FS14:CNT:TI:A:SetInputTerm,0,<class 'int'>
LAS:FS14:CNT:TI:B:SetInputTerm,0,<class 'int'>
LAS:FS14:CNT:TI:SetArmMode,7,<class 'int'>
LAS:FS14:CNT:TI:SetDispRELMode,0,<class 'int'>
LAS:FS14:CNT:TI:SetInstrumentMode,0,<class 'int'>
LAS:FS14:CNT:TI:SetMeasSource,0,<class 'int'>
LAS:FS14:CNT:TI:SetDACOutputMode,0,<class 'int'>
LAS:FS14:CNT:TI:SetDelayScanMode,0,<class 'int'>
LAS:FS14:CNT:TI:SetScanMode,0,<class 'int'>
LAS:FS14:CNT:TI:SetNumScanPoints,6,<class 'int'>
LAS:FS14:CNT:TI:SetDisplayGraphType,0,<class 'int'>
LAS:FS14:CNT:TI:SetDisplaySource,0,<class 'int'>
LAS:FS14:CNT:TI:SetPrinterPortMode,0,<class 'int'>
LAS:FS14:CNT:TI:DVM0:SetVRange,0,<class 'int'>
LAS:FS14:CNT:TI:DVM1:SetVRange,0,<class 'int'>
IOC:LAS:LHN:SR620:04:CA_UPD_TIME,15.0,<class 'float'>
IOC:LAS:LHN:SR620:04:FD_UPD_TIME,20.0,<class 'float'>
IOC:LAS:LHN:SR620:04:LOAD_UPD_TIME,10.0,<class 'float'>
IOC:LAS:LHN:SR620:04:MEM_UPD_TIME,10.0,<class 'float'>
LAS:FS14:CNT:TI:ExecSelfTest,0.0,<class 'float'>
LAS:FS14:CNT:TI:EXT:SetTrigThreshold,1.7,<class 'float'>
LAS:FS14:CNT:TI:A:SetTrigThreshold,-0.2,<class 'float'>
LAS:FS14:CNT:TI:B:SetTrigThreshold,-0.2,<class 'float'>
LAS:FS14:CNT:TI:SetGatePeriod,1e-06,<class 'float'>
LAS:FS14:CNT:TI:SetSampleSize,10.0,<class 'float'>
LAS:FS14:CNT:TI:SetDispREL,0.0,<class 'float'>
LAS:FS14:CNT:TI:SetDelayStartPos,1.0,<class 'float'>
LAS:FS14:CNT:TI:SetDelayScanStepSize,1e-06,<class 'float'>
LAS:FS14:CNT:TI:SetScanHoldTime,0.01,<class 'float'>
LAS:FS14:CNT:TI:DAC0:SetScanStartV,0.0,<class 'float'>
LAS:FS14:CNT:TI:DAC1:SetScanStartV,0.0,<class 'float'>
LAS:FS14:CNT:TI:DAC0:SetScanStepSize,0.0,<class 'float'>
LAS:FS14:CNT:TI:DAC1:SetScanStepSize,0.0,<class 'float'>
LAS:FS14:CNT:TI:SetCursorPosition,1.0,<class 'float'>
LAS:FS14:CNT:TI:SetGraphScaleHistV,100.0,<class 'float'>
LAS:FS14:CNT:TI:SetGraphScaleHistH,1e-07,<class 'float'>
LAS:FS14:CNT:TI:SetGraphScaleHistB,50.0,<class 'float'>
LAS:FS14:CNT:TI:SetGraphScaleMean,1e-07,<class 'float'>
LAS:FS14:CNT:TI:SetGraphScaleJitter,2e-08,<class 'float'>
LAS:FS14:CNT:TI:SetPlotterAddress,5.0,<class 'float'>
LAS:FS14:CNT:TI:SendKeyPress,0.0,<class 'float'>
LAS:FS14:CNT:TI:SetPortByte,0.0,<class 'float'>
LAS:FS14:CNT:TI,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:FRoot,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F1,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F1:1,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F1:2,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F1:3,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F1:4,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F1:5,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F2,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F3,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F4,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F5,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateAll:F6,0,<class 'int'>
LAS:FS14:CNT:TI:UpdateHighRate:FRoot,0,<class 'int'>
LAS:FS14:CNT:TI:ProcMeasAll,0,<class 'int'>
LAS:FS14:CNT:TI:MeasOffsetUpdateFanout,0,<class 'int'>
