PV_name,values,py_data_type
EVR:LAS:XCS:01:TRIG0:BW_TDES_CALC,889344.5378151262,<class 'float'>
EVR:LAS:XCS:01:TRIG0:FW_TDLY_CALC,105744.0,<class 'float'>
EVR:LAS:XCS:01:TRIG0:FW_TDLY_SCALE_CALC,1.0,<class 'float'>
EVR:LAS:XCS:01:TRIG0:TDLY,105744.0,<class 'float'>
EVR:LAS:XCS:01:TRIG0:FW_TDES_TICK_CALC,0.0,<class 'float'>
EVR:LAS:XCS:01:TRIG0:TDES_CALC_LOW,739.4858038600016,<class 'float'>
EVR:LAS:XCS:01:TRIG0:BW_TDLY,105744.0,<class 'float'>
EVR:LAS:XCS:01:TRIG0:BW_TDES,889344.53786954,<class 'float'>
EVR:LAS:XCS:01:TRIG0:TWID2,594.999999967275,<class 'float'>
EVR:LAS:XCS:01:TRIG1:BW_TDES_CALC,889378.1512605043,<class 'float'>
EVR:LAS:XCS:01:TRIG1:FW_TDLY_CALC,105747.0,<class 'float'>
EVR:LAS:XCS:01:TRIG1:FW_TDLY_SCALE_CALC,1.0,<class 'float'>
EVR:LAS:XCS:01:TRIG1:TDLY,105747.0,<class 'float'>
EVR:LAS:XCS:01:TRIG1:FW_TDES_TICK_CALC,0.0,<class 'float'>
EVR:LAS:XCS:01:TRIG1:TDES_CALC_LOW,747.8891652050027,<class 'float'>
EVR:LAS:XCS:01:TRIG1:BW_TDLY,105747.0,<class 'float'>
EVR:LAS:XCS:01:TRIG1:BW_TDES,889378.15131492,<class 'float'>
EVR:LAS:XCS:01:TRIG1:TWID2,594.999999967275,<class 'float'>
EVR:LAS:XCS:01:TRIG2:BW_TDES_CALC,940000.0,<class 'float'>
EVR:LAS:XCS:01:TRIG2:FW_TDLY_CALC,110756.0,<class 'float'>
EVR:LAS:XCS:01:TRIG2:FW_TDLY_SCALE_CALC,1.0,<class 'float'>
EVR:LAS:XCS:01:TRIG2:TDLY,110756.0,<class 'float'>
