PV_name,values,py_data_type
IOC:LAS:XCS:SMC100:01:CLUST_1_0_0,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:CLUST_1_0_1,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:CLUST_1_0_2,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:CLUST_1_0_3,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:CLUST_1_1_0,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:CLUST_1_1_1,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:CLUST_1_1_2,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:CLUST_1_1_3,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:DAT_MBUF_FREE,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:DAT_MBUF_MAX,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:FD_CNT,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:FD_MAX,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:IFI_ERR_CNT,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:IFO_ERR_CNT,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:LOAD,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:MEM_BLK_FREE,1000000000.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:MEM_FREE,1000000000.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:MEM_USED,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:RECORD_CNT,113.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:SUSP_TASK_CNT,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:SYS_MBUF_FREE,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:SYS_MBUF_MAX,0.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:CA_UPD_TIME,15.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:FD_UPD_TIME,10.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:LOAD_UPD_TIME,20.0,<class 'float'>
IOC:LAS:XCS:SMC100:01:MEM_UPD_TIME,10.0,<class 'float'>
LAS:FS4:MMN:FQ:SET_HOMING_MODE,0,<class 'int'>
LAS:FS4:MMN:FQ:SET_ZERO,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:FD_FREE,1000.0,<class 'float'>
LAS:FS4:MMN:FQ:_CALC_STATUS,8.0,<class 'float'>
LAS:FS4:MMN:FQ:SET_ZERO_1,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_0_State,4,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_1_State,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_2_State,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_3_State,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_4_State,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_5_State,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_6_State,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_7_State,0,<class 'int'>
LAS:FS4:MMN:FQ:SET_ZERO_2,1,<class 'int'>
LAS:FS4:MMN:FQ:SET_ZERO_3,0,<class 'int'>
LAS:FS4:MMN:FQ:SET_ZERO_4,0,<class 'int'>
LAS:FS4:MMN:FQ:SET_ZERO_5,1,<class 'int'>
LAS:FS4:MMN:FQ:SET_ZERO_6,0,<class 'int'>
LAS:FS4:MMN:FQ:STATUS,8,<class 'int'>
IOC:LAS:XCS:SMC100:01:ACCESS,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_0_Status,4,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_1_Status,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_2_Status,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_3_Status,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_4_Status,0,<class 'int'>
IOC:LAS:XCS:SMC100:01:SR_5_Status,0,<class 'int'>
